,Category: All categories
Week,apple: (Worldwide)
2017-04-02,32
2017-04-09,31
2017-04-16,31
2017-04-23,31
2017-04-30,32
2017-05-07,32
2017-05-14,32
2017-05-21,30
2017-05-28,30
2017-06-04,35
2017-06-11,32
2017-06-18,31
2017-06-25,31
2017-07-02,31
2017-07-09,32
2017-07-16,32
2017-07-23,34
2017-07-30,34
2017-08-06,33
2017-08-13,34
2017-08-20,34
2017-08-27,34
2017-09-03,35
2017-09-10,58
2017-09-17,46
2017-09-24,43
2017-10-01,42
2017-10-08,41
2017-10-15,40
2017-10-22,40
2017-10-29,41
2017-11-05,42
2017-11-12,39
2017-11-19,49
2017-11-26,41
2017-12-03,41
2017-12-10,39
2017-12-17,43
2017-12-24,51
2017-12-31,42
2018-01-07,37
2018-01-14,35
2018-01-21,36
2018-01-28,35
2018-02-04,35
2018-02-11,33
2018-02-18,34
2018-02-25,33
2018-03-04,32
2018-03-11,33
2018-03-18,32
2018-03-25,35
2018-04-01,34
2018-04-08,33
2018-04-15,32
2018-04-22,31
2018-04-29,33
2018-05-06,33
2018-05-13,33
2018-05-20,31
2018-05-27,32
2018-06-03,34
2018-06-10,32
2018-06-17,30
2018-06-24,32
2018-07-01,31
2018-07-08,33
2018-07-15,35
2018-07-22,33
2018-07-29,35
2018-08-05,34
2018-08-12,35
2018-08-19,33
2018-08-26,35
2018-09-02,36
2018-09-09,56
2018-09-16,45
2018-09-23,43
2018-09-30,42
2018-10-07,41
2018-10-14,39
2018-10-21,38
2018-10-28,42
2018-11-04,39
2018-11-11,39
2018-11-18,49
2018-11-25,41
2018-12-02,39
2018-12-09,38
2018-12-16,41
2018-12-23,48
2018-12-30,41
2019-01-06,38
2019-01-13,36
2019-01-20,34
2019-01-27,36
2019-02-03,34
2019-02-10,33
2019-02-17,34
2019-02-24,31
2019-03-03,33
2019-03-10,32
2019-03-17,33
2019-03-24,37
2019-03-31,32
2019-04-07,31
2019-04-14,32
2019-04-21,32
2019-04-28,31
2019-05-05,32
2019-05-12,31
2019-05-19,31
2019-05-26,31
2019-06-02,36
2019-06-09,32
2019-06-16,31
2019-06-23,32
2019-06-30,32
2019-07-07,32
2019-07-14,34
2019-07-21,31
2019-07-28,33
2019-08-04,33
2019-08-11,34
2019-08-18,35
2019-08-25,53
2019-09-01,100
2019-09-08,95
2019-09-15,81
2019-09-22,69
2019-09-29,45
2019-10-06,44
2019-10-13,43
2019-10-20,39
2019-10-27,42
2019-11-03,41
2019-11-10,43
2019-11-17,42
2019-11-24,51
2019-12-01,44
2019-12-08,42
2019-12-15,42
2019-12-22,51
2019-12-29,41
2020-01-05,39
2020-01-12,37
2020-01-19,36
2020-01-26,36
2020-02-02,34
2020-02-09,35
2020-02-16,36
2020-02-23,34
2020-03-01,34
2020-03-08,33
2020-03-15,35
2020-03-22,35
2020-03-29,35
2020-04-05,37
2020-04-12,41
2020-04-19,41
2020-04-26,41
2020-05-03,40
2020-05-10,40
2020-05-17,39
2020-05-24,40
2020-05-31,40
2020-06-07,40
2020-06-14,39
2020-06-21,41
2020-06-28,38
2020-07-05,39
2020-07-12,40
2020-07-19,39
2020-07-26,41
2020-08-02,42
2020-08-09,41
2020-08-16,42
2020-08-23,42
2020-08-30,45
2020-09-06,44
2020-09-13,56
2020-09-20,50
2020-09-27,48
2020-10-04,44
2020-10-11,56
2020-10-18,46
2020-10-25,44
2020-11-01,41
2020-11-08,47
2020-11-15,46
2020-11-22,52
2020-11-29,48
2020-12-06,44
2020-12-13,43
2020-12-20,51
2020-12-27,47
2021-01-03,43
2021-01-10,40
2021-01-17,40
2021-01-24,42
2021-01-31,38
2021-02-07,35
2021-02-14,36
2021-02-21,36
2021-02-28,36
2021-03-07,36
2021-03-14,35
2021-03-21,35
2021-03-28,34
2021-04-04,34
2021-04-11,33
2021-04-18,37
2021-04-25,37
2021-05-02,35
2021-05-09,33
2021-05-16,34
2021-05-23,35
2021-05-30,35
